1078, -2.86628,54.32790
1079, -2.50480,54.38808
1080, -2.14231,54.44725
1081, -1.77881,54.50541
1082, -1.41432,54.56255
1083, -1.04885,54.61867
1117, -2.76231,54.11646
1118, -2.40241,54.17636
1119, -2.04150,54.23524
1120, -1.67961,54.29313
1121, -1.31674,54.34999
1122, -0.95291,54.40583
1123, -0.58813,54.46066
1155, -3.01674,53.84433
1156, -2.65939,53.90494
1157, -2.30105,53.96455
1158, -1.94173,54.02316
1159, -1.58143,54.08076
1160, -1.22017,54.13735
1161, -0.85796,54.19292
1162, -0.49482,54.24748
1190, -4.32653,53.38191
1194, -2.91333,53.63301
1195, -2.55752,53.69333
1196, -2.20073,53.75265
1197, -1.84297,53.81098
1198, -1.48425,53.86831
1199, -1.12459,53.92463
1200, -0.76399,53.97994
1201, -0.40247,54.03424
1229, -4.21820,53.17166
1230, -3.86789,53.23560
1231, -3.51657,53.29857
1232, -3.16425,53.36057
1233, -2.81094,53.42159
1234, -2.45666,53.48163
1235, -2.10141,53.54068
1236, -1.74520,53.59873
1237, -1.38805,53.65579
1238, -1.02997,53.71184
1239, -0.67097,53.76689
1240, -0.31106,53.82092
1267, -4.45879,52.89671
1268, -4.11094,52.96132
1269, -3.76208,53.02496
1270, -3.41222,53.08764
1271, -3.06139,53.14935
1272, -2.70958,53.21009
1273, -2.35680,53.26985
1274, -2.00308,53.32862
1275, -1.64841,53.38640
1276, -1.29282,53.44319
1277, -0.93631,53.49898
1278, -0.57889,53.55376
1279, -0.22058,53.60754
1307, -4.00471,52.75087
1308, -3.65729,52.81423
1309, -3.30890,52.87662
1310, -2.95953,52.93805
1311, -2.60920,52.99850
1312, -2.25793,53.05798
1313, -1.90572,53.11648
1314, -1.55258,53.17399
1315, -1.19853,53.23051
1316, -0.84358,53.28604
1317, -0.48774,53.34056
1318, -0.13101,53.39408
1346, -3.89951,52.54034
1347, -3.55352,52.60340
1348, -3.20657,52.66551
1349, -2.85866,52.72666
1350, -2.50981,52.78683
1351, -2.16003,52.84604
1352, -1.80932,52.90426
1353, -1.45770,52.96151
1354, -1.10518,53.01777
1355, -0.75177,53.07303
1356, -0.39749,53.12730
1357, -0.04234,53.18057
1358,  0.31367,53.23283
1384, -4.13891,52.26598
1385, -3.79531,52.32971
1386, -3.45074,52.39249
1387, -3.10522,52.45432
1388, -2.75877,52.51518
1389, -2.41138,52.57508
1390, -2.06307,52.63401
1391, -1.71386,52.69197
1392, -1.36375,52.74895
1393, -1.01275,52.80494
1394, -0.66087,52.85995
1395, -0.30813,52.91397
1396,  0.04546,52.96698
1420, -5.05517,51.85958
1421, -4.71585,51.92584
1422, -4.37556,51.99116
1423, -4.03430,52.05555
1424, -3.69209,52.11899
1425, -3.34894,52.18149
1426, -3.00485,52.24303
1427, -2.65983,52.30362
1428, -2.31390,52.36325
1429, -1.96706,52.42191
1430, -1.61932,52.47960
1431, -1.27070,52.53632
1432, -0.92121,52.59205
1433, -0.57086,52.64680
1434, -0.21965,52.70057
1435,  0.13240,52.75334
1436,  0.48527,52.80511
1437,  0.83895,52.85588
1438,  1.19344,52.90564
1459, -4.94746,51.64993
1460, -4.60949,51.71589
1461, -4.27055,51.78093
1462, -3.93067,51.84502
